aircraftId,registration,name,mtowKg,grassPenaltyPercentIfNoGrassData,runwayType,weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,landingGroundRollM,landingOver50M,headwindTO%/kt,tailwindTO%/kt,headwindLDG%/kt,tailwindLDG%/kt,slopeTO%/%,slopeLDG%/%
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,0,-5,111,316,157,398,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,2000,-5,124,355,167,422,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,4000,-5,140,399,177,448,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,6000,-5,158,450,188,475,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,8000,-5,178,507,199,505,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,10000,-5,201,573,212,536,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,0,-5,173,390,203,444,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,2000,-5,194,438,215,470,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,4000,-5,219,492,228,499,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,6000,-5,246,554,242,529,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,8000,-5,278,625,257,562,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,10000,-5,314,707,273,598,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,0,5,119,340,163,413,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,2000,5,134,382,173,438,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,4000,5,151,430,184,465,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,6000,5,170,485,195,494,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,8000,5,192,548,207,525,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,10000,5,218,620,220,558,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,0,5,186,419,210,460,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,2000,5,209,471,223,488,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,4000,5,236,531,237,518,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,6000,5,266,598,251,550,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,8000,5,300,676,267,585,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,10000,5,340,765,284,622,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,0,15,128,365,169,428,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,2000,15,144,411,179,454,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,4000,15,162,463,190,482,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,6000,15,183,522,202,512,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,8000,15,207,591,215,545,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,10000,15,235,669,229,580,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,0,15,200,450,218,477,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,2000,15,225,506,231,506,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,4000,15,254,571,245,537,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,6000,15,286,644,261,571,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,8000,15,324,729,277,607,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,10000,15,367,825,295,646,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,0,25,137,391,175,443,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,2000,25,154,440,186,470,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,4000,25,174,496,197,499,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,6000,25,197,561,210,531,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,8000,25,223,635,223,565,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,10000,25,253,720,237,601,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,0,25,214,482,226,494,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,2000,25,241,543,239,524,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,4000,25,272,612,254,556,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,6000,25,307,692,270,591,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,8000,25,348,783,288,629,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,10000,25,395,888,306,670,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,0,35,146,417,181,458,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,2000,35,165,471,192,486,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,4000,35,186,531,204,516,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,6000,35,211,601,217,549,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,8000,35,239,681,231,585,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,concrete,600,10000,35,271,773,246,623,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,0,35,229,515,233,510,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,2000,35,258,580,248,542,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,4000,35,291,655,263,575,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,6000,35,329,741,280,612,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,8000,35,373,840,298,652,0,4,0,4.5,8,8
sample-evss,F-RPRF,Evektor Sporstar RTC,600,0,grass,600,10000,35,424,953,317,694,0,4,0,4.5,8,8
